user_ID, used_time, app_num
day1
1, 2, 34
2, 13, 35
3, 99, 39
4, 25, 50
5, 41, 27
6, 96, 43
7, 93, 15
8, 41, 45
9, 24, 49
10, 90, 19
11, 72, 16
12, 2, 21
13, 35, 46
14, 48, 10
15, 7, 25
16, 95, 11
17, 78, 21
18, 14, 9
19, 67, 25
20, 83, 45
21, 83, 41
22, 10, 43
23, 25, 49
24, 46, 2
25, 79, 49
26, 20, 10
27, 11, 28
28, 18, 23
29, 70, 42
30, 11, 30
31, 61, 41
32, 67, 18
33, 58, 10
34, 9, 6
35, 95, 18
36, 100, 34
37, 71, 35
38, 98, 10
39, 17, 18
40, 17, 20
41, 69, 17
42, 12, 9
43, 62, 9
44, 91, 22
45, 51, 8
46, 38, 35
47, 61, 7
48, 37, 25
49, 95, 29
50, 51, 38
51, 4, 10
52, 35, 48
53, 4, 18
54, 11, 9
55, 11, 34
56, 26, 41
57, 71, 44
58, 68, 21
59, 6, 49
60, 73, 44
61, 9, 30
62, 3, 6
63, 13, 16
64, 92, 16
65, 44, 14
66, 83, 17
67, 70, 38
68, 74, 18
69, 81, 35
70, 74, 48
71, 25, 46
72, 33, 36
73, 43, 33
74, 12, 23
75, 4, 12
76, 4, 7
77, 17, 43
78, 60, 41
79, 61, 9
80, 82, 37
81, 43, 3
82, 57, 39
83, 68, 26
84, 91, 40
85, 8, 29
86, 49, 43
87, 79, 15
88, 72, 40
89, 79, 39
90, 25, 44
91, 27, 7
92, 80, 37
93, 68, 38
94, 1, 14
95, 30, 32
96, 54, 13
97, 29, 26
98, 91, 10
99, 14, 18
100, 48, 45
101, 72, 30
102, 81, 44
103, 65, 22
104, 71, 17
105, 47, 17
106, 32, 39
107, 48, 13
108, 47, 9
109, 29, 43
110, 15, 41
111, 17, 10
112, 23, 29
113, 30, 9
114, 84, 23
115, 100, 21
116, 96, 29
117, 48, 30
118, 29, 11
119, 70, 48
120, 91, 12
121, 43, 8
122, 62, 38
123, 93, 4
124, 63, 6
125, 31, 3
126, 1, 47
127, 25, 9
128, 22, 11
129, 29, 48
130, 4, 17
131, 85, 8
132, 38, 35
133, 60, 32
134, 89, 21
135, 87, 20
136, 98, 11
137, 5, 13
138, 39, 34
139, 97, 34
140, 74, 14
141, 96, 34
142, 36, 7
143, 71, 49
144, 9, 48
145, 23, 2
146, 74, 28
147, 43, 40
148, 89, 11
149, 8, 6
150, 87, 8
151, 38, 3
152, 99, 34
153, 80, 3
154, 2, 10
155, 35, 32
156, 20, 6
157, 7, 38
158, 39, 27
159, 46, 32
160, 75, 22
161, 35, 25
162, 95, 33
163, 75, 24
164, 54, 5
165, 45, 38
166, 68, 16
167, 55, 3
168, 97, 30
169, 11, 12
170, 42, 44
171, 98, 9
172, 12, 48
173, 98, 7
174, 100, 43
175, 93, 28
176, 8, 43
177, 69, 4
178, 35, 45
179, 72, 37
180, 46, 9
181, 90, 29
182, 91, 47
183, 96, 2
184, 30, 30
185, 40, 11
186, 84, 41
187, 73, 1
188, 73, 7
189, 29, 19
190, 31, 26
191, 2, 50
192, 24, 11
193, 64, 28
194, 87, 45
195, 27, 22
196, 43, 21
197, 23, 9
198, 62, 13
199, 47, 41
200, 89, 16
201, 73, 34
202, 28, 42
203, 69, 2
204, 21, 45
205, 10, 40
206, 78, 19
207, 8, 4
208, 100, 27
209, 66, 19
210, 30, 46
211, 75, 44
212, 7, 39
213, 78, 20
214, 6, 31
215, 99, 44
216, 23, 14
217, 37, 47
218, 29, 19
219, 49, 48
220, 83, 23
221, 97, 48
222, 33, 44
223, 53, 35
224, 7, 12
225, 58, 13
226, 7, 6
227, 15, 39
228, 16, 44
229, 52, 23
230, 88, 13
231, 7, 32
232, 49, 23
233, 19, 25
234, 57, 35
235, 27, 48
236, 79, 2
237, 79, 16
238, 55, 4
239, 14, 1
240, 37, 14
241, 7, 39
242, 34, 21
243, 55, 3
244, 57, 10
245, 27, 19
246, 63, 32
247, 30, 6
248, 44, 42
249, 44, 27
250, 30, 32
251, 68, 34
252, 37, 48
253, 25, 35
254, 2, 16
255, 29, 23
256, 50, 5
257, 65, 42
258, 7, 38
259, 6, 35
260, 79, 37
261, 20, 34
262, 16, 17
263, 8, 15
264, 67, 14
265, 50, 40
266, 66, 7
267, 34, 33
268, 27, 38
269, 56, 6
270, 94, 34
271, 78, 24
272, 39, 32
273, 71, 17
274, 29, 31
275, 8, 50
276, 44, 18
277, 74, 35
278, 35, 10
279, 81, 46
280, 24, 42
281, 33, 48
282, 43, 37
283, 91, 42
284, 21, 34
285, 58, 12
286, 16, 40
287, 82, 35
288, 89, 5
289, 34, 13
290, 86, 9
291, 73, 7
292, 8, 50
293, 89, 6
294, 68, 35
295, 63, 31
296, 82, 45
297, 13, 6
298, 70, 44
299, 4, 2
300, 61, 14
301, 17, 12
302, 5, 44
303, 16, 27
304, 100, 42
305, 52, 28
306, 33, 33
307, 27, 20
308, 90, 43
309, 27, 34
310, 10, 10
311, 6, 18
312, 89, 17
313, 27, 4
314, 57, 21
315, 53, 24
316, 77, 20
317, 65, 26
318, 90, 20
319, 92, 49
320, 67, 34
321, 30, 18
322, 74, 19
323, 50, 33
324, 68, 18
325, 87, 29
326, 4, 4
327, 92, 35
328, 54, 3
329, 17, 28
330, 77, 1
331, 99, 32
332, 22, 21
333, 6, 2
334, 42, 6
335, 19, 31
336, 29, 10
337, 14, 5
338, 60, 35
339, 58, 13
340, 44, 27
341, 5, 22
342, 79, 32
343, 96, 13
344, 69, 30
345, 12, 9
346, 46, 22
347, 2, 26
348, 35, 23
349, 82, 18
350, 54, 46
351, 65, 13
352, 84, 40
353, 96, 38
354, 7, 6
355, 4, 26
356, 2, 2
357, 10, 15
358, 39, 29
359, 36, 30
360, 29, 16
361, 18, 6
362, 33, 25
363, 35, 6
364, 49, 41
365, 25, 47
366, 90, 9
367, 44, 9
368, 68, 24
369, 41, 22
370, 51, 5
371, 25, 19
372, 12, 47
373, 49, 27
374, 17, 4
375, 29, 45
376, 59, 23
377, 9, 42
378, 67, 35
379, 64, 45
380, 56, 12
381, 41, 26
382, 57, 14
383, 91, 10
384, 25, 22
385, 20, 3
386, 25, 4
387, 17, 18
388, 7, 12
389, 50, 16
390, 87, 15
391, 51, 42
392, 34, 1
393, 46, 48
394, 11, 14
395, 99, 20
396, 93, 30
397, 37, 33
398, 42, 35
399, 76, 30
400, 25, 29
401, 89, 10
402, 24, 43
403, 19, 38
404, 21, 8
405, 60, 35
406, 12, 23
407, 19, 23
408, 5, 12
409, 41, 36
410, 4, 4
411, 61, 30
412, 66, 18
413, 90, 24
414, 42, 1
415, 48, 31
416, 29, 8
417, 34, 1
418, 48, 8
419, 18, 26
420, 55, 9
421, 8, 8
422, 58, 6
423, 46, 49
424, 33, 49
425, 93, 50
426, 93, 43
427, 31, 25
428, 78, 38
429, 25, 12
430, 99, 42
431, 31, 6
432, 50, 41
433, 15, 33
434, 50, 25
435, 28, 23
436, 10, 4
437, 86, 41
438, 82, 18
439, 74, 39
440, 57, 14
441, 35, 33
442, 43, 14
443, 23, 46
444, 45, 43
445, 66, 16
446, 77, 46
447, 37, 49
448, 25, 46
449, 88, 31
450, 31, 49
451, 47, 42
452, 64, 40
453, 80, 35
454, 15, 6
455, 85, 31
456, 5, 39
457, 34, 27
458, 75, 9
459, 47, 9
460, 26, 13
461, 83, 42
462, 1, 14
463, 6, 4
464, 60, 14
465, 47, 5
466, 2, 41
467, 85, 16
468, 8, 5
469, 4, 8
470, 10, 10
471, 24, 22
472, 88, 31
473, 38, 42
474, 27, 31
475, 91, 24
476, 15, 16
477, 67, 30
478, 6, 27
479, 73, 20
480, 98, 38
481, 46, 43
482, 33, 21
483, 45, 33
484, 51, 32
485, 61, 43
486, 53, 25
487, 91, 50
488, 51, 26
489, 47, 28
490, 68, 46
491, 24, 22
492, 84, 2
493, 5, 8
494, 94, 47
495, 36, 18
496, 35, 22
497, 97, 45
498, 72, 48
499, 69, 15
500, 33, 11
501, 21, 25
502, 95, 36
503, 61, 37
504, 93, 23
505, 86, 1
506, 31, 25
507, 88, 37
508, 70, 19
509, 18, 49
510, 55, 5
511, 3, 25
512, 85, 18
513, 13, 49
514, 10, 37
515, 18, 23
516, 45, 29
517, 59, 9
518, 47, 22
519, 66, 38
520, 33, 7
521, 89, 27
522, 73, 42
523, 60, 30
524, 9, 20
525, 70, 23
526, 48, 16
527, 77, 23
528, 94, 36
529, 35, 49
530, 1, 15
531, 31, 42
532, 57, 31
533, 6, 8
534, 24, 47
535, 18, 20
536, 26, 33
537, 47, 34
538, 69, 12
539, 96, 19
540, 59, 32
541, 18, 14
542, 32, 1
543, 61, 21
544, 85, 6
545, 34, 46
546, 63, 14
547, 84, 4
548, 43, 19
549, 24, 44
550, 80, 17
551, 13, 13
552, 80, 12
553, 89, 12
554, 56, 1
555, 63, 42
556, 31, 37
557, 38, 43
558, 18, 3
